Primary Key,Order Date,Product Category,Complaint,Cause,Correction,Root Cause,Symptom Condition 1,Symptom Component 1,Symptom Condition 2,Symptom Component 2,Symptom Condition 3,Symptom Component 3,Fix Condition 1,Fix Component 1,Fix Condition 2,Fix Component 2,Fix Condition 3,Fix Component 3
SO0026296-1,2023-03-08,SPRAYS,VISIBLY NOTICE FASTENERS UNDER CAB ON P CLIPS AND AIR DUCTING LEFT LOOSE,NOT TIGHTEN AT FACTORY.,"GO THROUGH AND RE-TIGHTEN ALL P CLIPS, NUTS, AND BOLTS AS NECESSARYALSO FOUND TWO BULKHEAD CONNECTORS, NOT FULLY LOCKED LEFT REAR OF MACHINE AND ONE ON RIGHT BOOMRUNNING TESTS NO FAULT",Not Tighten,Loose,N/A,N/A,N/A,N/A,N/A,N/A,Bulkhead Connector,N/A,N/A,N/A,N/A
SO0026385-1,2023-03-08,SPRAYS,FUEL DOOR WILL NOT STAY OPEN,GAS STRUT NOT INSTALLED OR ANYWHERE ON MACHINE,FOUND GAS STRUT NOT INSTALLED OR ANYWHERE ON MACHINE.INSTALL GAS STRUT.RUN AND TEST,Not Installed,Open,Fuel Door,N/A,N/A,N/A,N/A,Installed,Gas Strut,N/A,N/A,N/A,N/A
SO0026385-11,2023-03-08,SPRAYS,"COMPRESSOR PRESSURE LINE, BRAIDED STEEL, CRUSHED","COMPRESSOR PRESSURE LINE, BRAIDED STEEL, CRUSHED WHEN DELIVERD.",DRAIN AIR FROM SYSTEM.REMOVE ASSOCIATED P CLIPS.REMOVE AND REPLACE BRAIDED STEEL COMPRESSOR LINE.RUNNING TEST.,,Crushed,Compressor Pressure Line,Crushed,Braided Steel,N/A,Compressor Pressure Line,N/A,Braided Steel,N/A,Compressor Line,N/A,N/A
SO0028352-1,2023-03-08,SPRAYS,OIL RUNNING FROM BOTTOM OF MACHINE,OIL RETURN UNDER MACHINE SWIVEL FITTING LEFT LOOSE AT FACTORY,OIL RETURN UNDER MACHINE SWIVEL FITTING LEFT LOOSE AT FACTORY.RETORQUE FITTING AND TEST RUN.FITTINGS STILL LEAKING?REMOVE HOSE FROM BLOCK.REPLACE O-RING ON BOSSE AND REINSTALL.TOP OFF HYDRAULIC RESERVOIR.RUN AND TEST,,Oil Running,N/A,Loose,N/A,N/A,N/A,N/A,O-Ring,N/A,Hydraulic,N/A,N/A
SO0028770-1,2023-03-08,SPRAYS,MISSING VECTOR & INTRIP UNLOCKS.,MISSING VECTOR & INTRIP UNLOCKS WERE NOT INSTALLED.,INSTALLED MISSING UNLOCKS RAN AND TESTED.,Not Installed,Missing,Vector,Missing,Intrip Unlocks,N/A,Vector,Installed,N/A,N/A,N/A,N/A,N/A
SO0029596-1,2023-03-08,SPRAYS,OIL DRIPPING FROM COUPLER OF RETURN LINE TO PRODUCT PUMP,COUPLER WAS LEAKING.,REMOVE COUPLER FREE UP WITH HAMMER AND SOCKET IN ORDER TO CONTINUE TEST RUN OF MACHINE.ORDER PARTS DEALER TRANSFERRED DUE TO BACKORDER.REMOVE AND REPLACE COUPLER END RUN AND TEST,Leaking,Oil Dripping,Coupler,Leak,Coupler,N/A,N/A,N/A,Coupler,N/A,N/A,N/A,N/A
SO0058466-2,2023-05-05,SPRAYS,COMPONENTS MISSING ON BOOM TO MOUNT SMV SIGN,NOT INCLUDED FROM FACTORY,SERVICE CALL 7 MILES.INSTALL MISSING BRACKETS AND BOLTS AND INSTALL SMV SIGN.,Not Included,Missing,Boom,N/A,N/A,N/A,N/A,N/A,Brackets,N/A,N/A,N/A,N/A
SO0058466-3,2023-05-16,SPRAYS,OIL DRIPPING FROM BOTTOM OF MACHINEPICTURES INCLUDED,O-RING ON MALE QUICK CONNECT STICKING OUT OF FITTING.,SERVICE CALL14 MILES.O-RING ON MALE QUICK CONNECT STICKING OUT OF FITTING.PARTS DOES NOT DEPICT THIS FAST COUPLING.DISASSEMBLE AND MATCH O-RING.TOP OFF HYDRAULIC RESERVOIR.RUNNING TEST.,Out of Fitting,Oil Dripping,N/A,N/A,N/A,N/A,N/A,N/A,O-Ring,N/A,Hydraulic,N/A,N/A
SO0058466-4,2023-05-16,SPRAYS,OIL LEAK,BLOWN ORING,LOADED TRUCK AND DROVE OUT TO SPRAYER GOT TO SPRAYER AND STARTED LOOKING FOR LEAK FOUND ORING PEICE STICKING OUT OF FITTING UNCOUPLED HOSE FROM FITTING REMOVED FITTING FROM ADAPTER FOUND DAMAGED ORING LOOKED UP ORING PART NUMBERMATCHED ORING FROM KIT ON T,Blown,Oil Leak,N/A,Leak,N/A,N/A,N/A,Oring,N/A,N/A,N/A,N/A,N/A
SO0058466-5,2023-05-16,SPRAYS,HARNESS BROKE,POOR MATERIAL IN HARNESS,I WAS OUT TO FARM AND I REPLACED THE NCV HARNESS ON THE LH BOOM BETWEEN THE OUTER BOOM AND MID BOOM FOLD BECAUSE THE BULK HEAD GOT TORE. I UNHOOKED THE NCVS ON THAT HARNESS AND CUT THE ZIPTIES I REMOVED THE OLD HARNESS AND INSTALLED NEW HARNESS. I ZIP TIE,Poor Material,Broke,Harness,N/A,Harness,N/A,N/A,Installed,NCV Harness,Replaced,N/A,N/A,N/A
