VIN,REPAIR_DATE,PLATFORM,BODY_STYLE,ENGINE,PLANT,DEALER_NAME,REPAIR_DLR_CITY,STATE,REPAIR_AGE,KM,COMPLAINT_CD_CSI,REPORTING_COST,LBRCOST,TOTALCOST,CUSTOMER_VERBATIM,customer_tag,CAUSAL_PART_NM,casualpart_tag
3HCFDDE89SH220903,2024-01-02,Full-Size Trucks,Crew Cab,LZ0,SIL,Apex Auto Sales,ST JOHNS,MI,6,8872,0,370.03,61.46,370.03,STEERING WHEEL COMING APART,Other,WHEEL ASM-STRG *JET BLACK,"Wheel Assembly, Color: Jet Black, Color: Black"
3HCFDFEL3SH241701,2024-01-04,Full-Size Trucks,Crew Cab,L87,SIL,Summit Drive Auto,SLINGER,WI,10,15500,0,445.28,63.18,445.28,CUSTOMER STATES THE LETTERING AND FINISH ON THE STEERING WHEEL IS COMING OFF. Plant: SIL,Other,WHEEL ASM-STRG *JET BLACK,"Wheel Assembly, Color: Jet Black, Color: Black"
3HRFFHED7RH167541,2024-01-05,Full-Size Trucks,Crew Cab,L84,SIL,Prestige Wheels,COLUMBUS,NE,0,14,0,216.75,139.84,216.75,Horn and steering wheel switches are inoperable,Other,HARNESS ASM-STRG WHL HORN SW WRG,Harness
3HCFDFED4SH352945,2024-01-05,Full-Size Trucks,Crew Cab,L84,SIL,Diamond Auto Traders,SAINT CLAIRSVILLE,OH,3,4065,0,427.08,57.61,427.08,Special Order Part [ steering wheel heated steering wheel not working ],Other,WHEEL ASM-STRG *JET BLACK,"Wheel Assembly, Color: Jet Black, Color: Black"
1HRF9CED6NZ221061,2024-01-08,Full-Size Trucks,Crew Cab,L84,FTW,Legacy Car Sales,MADISON,OH,21,31611,0,27.69,27.69,27.69,CUSTOMER STATES STEERING WHEEL IS MAKING A RUBBING NOISE WHEN TURING THE WHEEL LEFT AND RIGHT,Noise Issue,WHEEL ASM-STRG *JET BLACK,"Wheel Assembly, Color: Jet Black, Color: Black"
1HCFDHE86SZ274242,2024-01-09,Full-Size Trucks,Crew Cab,LZ0,FTW,Platinum Wheels,PALMYRA,PA,8,6204,0,476.16,63.99,457.225,C/S: REMOVED STEERING WHEEL TO GAIN ACCESS TO BACK SIDE OF STEERING WHEEL WHERE TRIM IS THAT IS PROTRUDING AND REPLACED TRIM ANDSTILL IS PRETRUDING. ISSUE IS IN STEERING WHEEL ASSEMBLY reference ro# 82289 -- GM AUTHORIZATION# 490759800000,Other,WHEEL ASM-STRG *JET BLACK,"Wheel Assembly, Color: Jet Black, Color: Black"
1HYKNDRS3MZ177921,2024-01-10,Global Crossover Vehicles,4 Door Utility,LGX,SHT,Redline Auto Co.,CINCINNATI,OH,35,70354,0,322.13,53.46,322.13,C/S: CUSTOMER STATES THERE IS A PIECE OF THE STEERING WHEEL STICKING UP. SOP PART IS IN,Other,WHEEL ASM-STRG *DARK TITANIU,"Wheel Assembly, Color: Dark Titanium"
1H6DS5RK6S0127345,2024-01-10,Luxury Car-3,4 Door Sedan,LSY,LGR,CityStar Motors,POPLAR BLUFF,MO,12,19743,0,562.5,85.86,562.5,Customer states heated steering wheel isnt working,Other,WHEEL ASM-STRG *BLACK,"Wheel Assembly, Color: Black"
1HC4YSEY3RF110164,2024-01-10,Full-Size Trucks,Crew Cab,L5P,FLT,Velocity Vehicle Sales,CORTLAND,OH,9,17675,0,63.1,61.27,63.1,CUSTOMER STATES STEERING WHEEL CONROL PASSENGER SIDE REAR ON THE STEER ING WHEEL IS LOOSE SOP PART,Other,COVER-STRG WHL AIRBAG ACC HOLE *JET BLACK,"Cover, Color: Jet Black, Color: Black"
1HC4Y9EY2MF192148,2024-01-11,Full-Size Trucks,Crew Cab,L5P,FLT,GoldenRoad Motors,KIRYAT GAT,CA,33,107905,0,221.83,28.0,221.83,�������� ������ ����������,Other,WHEEL ASM-STRG *JET BLACK,"Wheel Assembly, Color: Jet Black, Color: Black"
